Time,Pnl,UnrealizedPnl,RealizedPnl
1600227960,0,0,0 
1600228020,0,0,0 
1600228080,0,0,0 
1600228140,0,0,0 
1600228200,0,0,0 
1600228260,0,0,0 
1600228320,0,0,0 
1600228380,0,0,0 
1600228440,0,0,0 
1600228500,0,0,0 
1600228560,0,0,0 
1600228620,0,0,0 
1600228680,0,0,0 
1600228740,0,0,0 
1600228800,0,0,0 
1600228860,0,0,0 
1600228920,0,0,0 
1600228980,0,0,0 
1600229040,0,0,0 
1600229100,0,0,0 
1600229160,0,0,0 
1600229220,0,0,0 
1600229280,0,0,0 
1600229340,0,0,0 
1600229400,0,0,0 
1600229460,0,0,0 
1600229520,0,0,0 
1600229580,0,0,0 
1600229640,0,0,0 
1600229700,0,0,0 
1600229760,0,0,0 
1600229820,0,0,0 
1600229880,0,0,0 
1600229940,0,0,0 
1600230000,0,0,0 
1600230060,0,0,0 
1600230120,0,0,0 
1600230180,0,0,0 
1600230240,0,0,0 
1600230300,0,0,0 
1600230360,0,0,0 
1600230420,0,0,0 
1600230480,0,0,0 
1600230540,0,0,0 
1600230600,0,0,0 
1600230660,0,0,0 
1600230720,0,0,0 
1600230780,0,0,0 
1600230840,0,0,0 
1600230900,0,0,0 
1600230960,0,0,0 
1600231020,0,0,0 
1600231080,0,0,0 
1600231140,0,0,0 
1600231200,0,0,0 
1600231260,0,0,0 
1600231320,0,0,0 
1600231380,0,0,0 
1600231440,0,0,0 
1600231500,0,0,0 
1600231560,0,0,0 
1600231620,0,0,0 
1600231680,0,0,0 
1600231740,0,0,0 
1600231800,0,0,0 
1600231860,0,0,0 
1600231920,0,0,0 
1600231980,0,0,0 
1600232040,0,0,0 
1600232100,0,0,0 
1600232160,0,0,0 
1600232220,0,0,0 
1600232280,0,0,0 
1600232340,0,0,0 
1600232400,0,0,0 
1600232460,0,0,0 
1600232520,0,0,0 
1600232580,0,0,0 
1600232640,0,0,0 
1600232700,0,0,0 
1600232760,0,0,0 
1600232820,0,0,0 
1600232880,0,0,0 
1600232940,0,0,0 
1600233000,0,0,0 
1600233060,0,0,0 
1600233120,0,0,0 
1600233180,0,0,0 
1600233240,0,0,0 
1600233300,0,0,0 
1600233360,0,0,0 
1600233420,0,0,0 
1600233480,0,0,0 
1600233540,0,0,0 
1600233600,0,0,0 
1600233660,0,0,0 
1600233720,0,0,0 
1600233780,0,0,0 
1600233840,0,0,0 
1600233900,0,0,0 
1600233960,0,0,0 
1600234020,0,0,0 
1600234080,0,0,0 
1600234140,0,0,0 
1600234200,0,0,0 
1600234260,0,0,0 
1600234320,0,0,0 
1600234380,0,0,0 
1600234440,0,0,0 
1600234500,0,0,0 
1600234560,0,0,0 
1600234620,0,0,0 
1600234680,0,0,0 
1600234740,0,0,0 
1600234800,0,0,0 
1600234860,0,0,0 
1600234920,0,0,0 
1600234980,0,0,0 
1600235040,0,0,0 
1600235100,0,0,0 
1600235160,0,0,0 
1600235220,0,0,0 
1600235280,0,0,0 
1600235340,0,0,0 
1600235400,0,0,0 
1600235460,0,0,0 
1600235520,0,0,0 
1600235580,0,0,0 
1600235640,0,0,0 
1600235700,0,0,0 
1600235760,0,0,0 
1600235820,0,0,0 
1600235880,0,0,0 
1600235940,0,0,0 
1600236000,0,0,0 
1600236060,0,0,0 
1600236120,0,0,0 
1600236180,0,0,0 
1600236240,0,0,0 
1600236300,0,0,0 
1600236360,0,0,0 
1600236420,0,0,0 
1600236480,0,0,0 
1600236540,0,0,0 
1600236600,0,0,0 
1600236660,0,0,0 
1600236720,0,0,0 
1600236780,0,0,0 
1600236840,0,0,0 
1600236900,0,0,0 
1600236960,0,0,0 
